"--Please Select--","--Per favore seleziona--"
"%customer_name,","%nome_cliente"
"<a href=""%redirect_url"">I pay my order now!</a>.","<a href=""%redirect_url"">Pago subito il mio ordine!</a>."
"<b>Important! :</b> Please provide your Merchant PayPal ID to enable PayPal V2 integration.","<b>Importante! :</b> Si prega di fornire il proprio ID commerciante PayPal per abilitare l'integrazione PayPal V2."
"<b>Manual</b>: All transactions will be captured manually either from the Hipay Back office or from your Magento administration dashboard. <br/><b>Automatic</b>: All transactions will be captured automatically.","<b>Manuelle</b>: Tutte le transazioni verranno catturate manualmente dal back office hipay o dalla dashboard di amministrazione Magento. <br/><b>Automatique</b>: Tutte le transazioni verranno acquisite automaticamente."
"<b>NEW</b>: The new PayPal integration allows you to pay with PayPal without redirection and to offer payment with installments.<br/>Available by <b>invitation only</b> at this time, please contact our support or your account manager for more information.","<b>NOUVO</b>: La nuova integrazione PayPal ti permette di pagare con PayPal senza reindirizzamento e di offrire il pagamento rateale.<br/>Disponibile <b>solo su invito</b> al momento. Contatta il nostro supporto o il tuo account manager per ulteriori informazioni."
"<strong style=""color:red"">Warning!</strong> If the hash configuration is different than the one set in your Hipay back office, then the notifications will not work. Check that both values match.","<strong style=""color:red"">Attention!</strong> Se la configurazione hash è diversa da quella del back office hipay, le notifiche non funzioneranno. Controlla che entrambi i valori corrispondano."
"Accept and Capture Payment","Accetta e cattura pagamento"
"Actions","Azioni"
"Add product to cart","Aggiunti prodotto al carrello"
"Amount to pay","Importo da pagare"
"Amount","Importo"
"AMOUNT","IMPORTO"
"An amount of %1 will be captured after being approved at the payment gateway.","Un'importo di %1 sarà catturato dopo essere stato approvato al payment gateway."
"An email with a payment link will be sent to the customer.","Un e-mail con il link di pagamento verrà inviata al cliente."
"Api password (production account)","Api password (account di Produzione)"
"Api password (test account)","Api password (account di Stage)"
"Api username (production account)","Api username (account di Produzione)"
"Api username (test account)","Api username (account di Stage)"
"Are you sure you wan't to delete the %1 record?","Sei sicuro di non voler eliminare %1 record?"
"Are you sure you wan't to delete the mapping ?","Sei sicuro di non voler cancellare la mappatura ?"
"Are you sure you wan't to delete the shipping mapping ?","Sei sicuro di non volere cancellare la mappatura spedizione ?"
"Are you sure you wan't to pay %1 ?","Sei sicuro di non voler pagare %1 ?"
"Are you sure you want to accept this payment?","Sei sicuro di voler accettare questo pagamento?"
"Are you sure you want to delete this card?","Sei sicuro di voler eliminare questa carta?"
"Are you sure you want to do this?","Sicuro di voler fare questo?"
"Authentication requested","Autenticazione richiesta"
"Authorization Expired","Autorizzazione scaduta"
"Authorization requested","Autorizzazione richiesta"
"Authorized and pending","Autorizzato e pendente"
"Authorized","Autorizzato"
"Automatic","Automatico"
"Back","Indietro"
"Bank name is not correct, please enter a valid Bank name.","Nome della banca non corretto, per favore inserisci un nome valido"
"Bank name","Nome banca"
"Basic JS","Basic JS"
"Billing Info","Info di fatturazione"
"Black","Nero"
"Blue","Blu"
"Button Color","Colore del pulsante"
"Button Height","Altezza del pulsante"
"Button Label","Etichetta del pulsante"
"Button Shape","Forma del pulsante"
"Button Type","Tipo di buttone"
"Buy Now","Compra ora"
"Cancel orders stayed in pending because customer not validated payment","Annulla gli ordini rimasti in sospeso perché il cliente non ha convalidato il pagamento."
"Cancel pending order","Annulla ordine in sospeso"
"Canceled","Cancellato",module,Magento_Bundle
"Canceled","Cancellato",module,Magento_Downloadable
"Canceled","Cancellato",module,Magento_Paypal
"Canceled","Cancellato",module,Magento_Reports
"Canceled","Cancellato",module,Magento_Sales
"Canceled","Cancellato",module,Magento_Signifyd
"Capture requested","Cattura richiesta"
"Capture Requested","Cattura Richiesta"
"Capture","Cattura"
"Card %s - %s","Carta %s - %s"
"Card name","Titolare carta"
"Card not registered! Due to: %s","Carta non registrata! Due to: %s"
"Card Number","Numero carta"
"Card number","Numero della carta"
"Card Owner Name","Nominativo intestatario carta"
"Card Verification Number Visual Reference","Numero riferimento visivo verifica carta"
"Card Verification Number","CVC"
"Cart Item Attribute","Attributo articolo carrello"
"CartCategories Attribute","Attributo categoria carta"
"Category Hipay","Categoria HiPay"
"Category Magento","Categoria Magento"
"Checkout","Check-out"
"Click <a href=""%1"">here</a> to continue shopping.","Clicca <a href=""%1"">qui</a> per continuare gli acquisti."
"Code BIC is not correct, please enter a valid Code BIC.","BIC non corretto, per favore inserisci un codice valido."
"Code BIC","Codice BIC"
"Complete","Completo"
"Configure Rules to activate oneclick","Configurare le regole per attivare oneclick"
"Continue","Continuare"
"CPF identification","Identificazione del CPF"
"CPF is not correct, please enter a valid CPF.","CPF non è corretto, per favore inserisci un valido CPF."
"CPN identification","Identificazione del CPN"
"CPN is not correct, please enter a valid CPN.","CPN non è corretto, per favore inserisci un valido CPN."
"Create mapping shipping","Creare mappatura della spedizione"
"Create mapping","Crea una mappatura"
"Create New Mapping Categories","Creare una nuova mappatura di categoria"
"Create New Mapping Shipping","Creare una nuova mappatura del metodo di spedizione"
"Credit Card Information","Informazioni carte di credito"
"Credit Card Number","Numero di carta di credito"
"Credit Card Type","Tipo carta di credito"
"Credit cards","Carte di credito"
"Currency","Valuta"
"Custom CSS url","Custom CSS url"
"Custom shipping code","Codice spedizione personalizzata"
"Custom shipping method","Metodo di spedizione personalizzato"
"Custom shipping methods","Metodi di spedizione personalizzati"
"Customer Attribute","Attributo cliente"
"Customer is guest","Cliente è ospite"
"Date to pay","Date de paiement"
"Debug","Debug"
"Default mapping shipping method","Mappatura default metodo di spedizione"
"Delete %1","Elimina %1"
"Delete Mapping Categories","Eliminare la mappatura delle categorie"
"Delete Mapping Shipping","Eliminare la mappatura del metodo di consegna"
"Delete mapping","Cancella mappatura"
"Delete shipping mapping","Cancella mappatura spedizione"
"Delete","Elimina"
"Delivery time estimated","Tempo di consegna stimato"
"Device fingerprint active","Device fingerprint attivo"
"Disabled","Disabilitato"
"Display card owner in card form","Visualizza intestatario carta nel modulo della carta"
"Display card owner","Mostra intestatario carta"
"Display card selector","Selettore circuito carte"
"Display hosted page in Iframe","Visualizzazione pagina di pagamento in Iframe"
"Ean attribute","Attributo ean"
"Edit Mapping Categories '%1'","MModifica della mappatura delle categorie '%1'"
"Edit Mapping Categories","Modifica la mappatura delle categorie"
"Edit Mapping Shipping '%1'","Modifica mappatura spedizione'%1'"
"Edit Mapping Shipping","Modifica mappatura spedizione"
"Edit","Modifica"
"Enable notification CRON","Abilita le notifiche CRON"
"Enabled","Abilitato"
"Enter a value between 25 and 55. Default is 40.","Inserisci un valore compreso tra 25 e 55. Il valore predefinito è 40."
"ENTITY","ENTITA"
"Environment","Ambiente"
"equals or greater than","uguale o maggiore di"
"equals or less than","uguale o minore di"
"Estimated time in days of delivery. (Without preparation time)","Tempo stimato di consegna in giorni. (Senza tempo di preparazione)"
"Estimated time in days to prepare your orders.","Tempo stimato in giorni per la preparazione degli ordini."
"Exp. Date","Data di scadenza"
"Expiration Date","Data di scadenza"
"EXPIRATION DATE","DATA DI SCADENZA"
"Expiry date","Data di scadenza"
"Facily Pay fees","Coomissioni Facily Pay"
"Failed","Fallito"
"Female","Donna"
"Fill cart when payment canceled or refused","Mantieni il carrello quando il pagamento viene annullato o rifiutato"
"Firstname is mandatory.","Il nome è obbligatorio."
"Firstname","Nome"
"Force for all transactions.","Forza per tutte le transazioni."
"Force for configured 3ds rules","Forza per le regole 3ds configurate"
"Fraud Payment Accept Email","E-mail accettazione pagamento fraudolento"
"Fraud Payment Deny Email","Email di nega dei pagamenti fraudolenti"
"Fraud Payment Review Email","Email di revisione dei pagamenti fraudolenti"
"Gender","Sesso"
"Generated in your HiPay BO (Integration => security settings => api credentials public).","Precedentemente create nel tuo BO HiPay (Intgration => Security Settings => Api credentials - Generare nuove credenziali selezionando chiave pubblica)."
"Gold","Oro"
"Grand Total","Gran Totale"
"greater than","maggiore di"
"HiPay Enterprise %1 available","HiPay Enterprise %1 disponibile"
"HiPay Enterprise Apple Pay credentials","Credenziali Apple Pay HiPay Enterprise"
"HiPay Enterprise credentials MO/TO configuration","Configurazione credenziali HiPay Enterprise MO/TO"
"HiPay Enterprise credentials Token JS configuration","Configurazione chiavi API pubbliche HiPay Enterprise (Token JS)"
"HiPay Enterprise Giropay","HiPay Enterprise Giropay"
"HiPay Enterprise iDeal","HiPay Enterprise iDeal"
"HiPay Enterprise MB Way","HiPay Enterprise MB Way"
"HiPay Enterprise Oney Facily Pay 3X","HiPay Enterprise Oney Facily Pay 3X"
"HiPay Enterprise Oney Facily Pay 4X","HiPay Enterprise Oney Facily Pay 4X"
"HiPay Enterprise PayPal","HiPay Enterprise PayPal"
"HiPay Enterprise PostFinance Card","HiPay Enterprise PostFinance Card"
"HiPay Enterprise PostFinance E-Finance","HiPay Enterprise PostFinance E-Finance"
"HiPay Enterprise Przelewy24","HiPay Enterprise Przelewy24"
"HiPay Enterprise SEPA Direct Debit","HiPay Enterprise SEPA Direct Debit"
"HiPay Enterprise","HiPay Enterprise"
"Hipay Entreprise Oney Credit Long","Hipay Entreprise Oney Credit Long"
"HiPay Fullservice credentials configuration","Configurazione credenziali HiPay Entreprise"
"HiPay Fullservice Credit Card","HiPay Fullservice Credit Card"
"HiPay Fullservice Hosted Page","HiPay Fullservice Hosted Page"
"HiPay Fullservice MOONEY Hosted","HiPay Fullservice MOONEY Hosted"
"HiPay Hosted Page Management","Gestione della pagina di pagamento ospitata hipay"
"HiPay Notifications","Notifiche HiPay"
"HiPay shipping methods","Metodi di spedizione HiPay"
"HiPay Shipping methods","Metodi di spedizione HiPay"
"Hipay status to validate order","Stato in Hipay per validare l'ordine"
"Hosted Page v1","Pagina Ospitata di pagamento v1"
"Hosted Page v2","Pagina ospitata di pagamento v2"
"Hosted Page Version","Versione pagina ospitata di pagamento"
"Iban is not correct, please enter a valid Iban.","Iban non corretto, per favore inserisci un iban valido."
"Iban","Iban"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Se %1 %2 %3 per una sottoselezione di articoli nel carrello corrisponde %4 una di queste condizioni:"
"If an item is %1 in the cart with %2 of these conditions true:","Se è un\'articolo %1 nel carrello con %2 di queste condizioni vere:"
"If yes then a call an external javascript is made on checkout page","Se si, allora una chiamata ad uno script javascript esterno sarà fatto in pagina di checkout"
"If yes then handle HiPay notifications by a CRON job","Se sì, quindi gestire le notifiche hipay da parte di un lavoro cron"
"If yes, then customer's cart is sent with transaction","Se attivato, il carrello corrispondente all'ordine viene inviato alla transazione."
"If yes, then the URL of your site is sent during the payment and notifications will be sent to this URL. To use only for multi site.","In caso affermativo, l'URL del tuo sito viene inviato durante il pagamento e le notifiche verranno inviate a questo URL. Da utilizzare solo per MultiSite."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se avete domande sul vostro ordine, potete inviarci un'e-mail all'indirizzo <a href=""mailto:%store_email"">%store_email</a>"
"iFrame Height","Altezza iFrame"
"iFrame Style","Stile iFrame"
"iFrame Width","Ampiezza iFrame"
"Important, HTTPS protocol is required","Importante: è necessario il protocollo HTTPS."
"Invalid Credit Card Number","Numero di carta di credito non valido"
"is not one of","non è uno di"
"is not","non è"
"is one of","è uno di"
"is","è"
"Issue Number","Numero di emissione"
"Lastname","Cognome"
"Layout","Layout"
"less than","minore di"
"Magento shipping methods","Metodi di spedizione Magento"
"Magento Shipping methods","Metodi di spedizione Magento"
"Male","Uomo"
"Manual","Manualmente"
"Mapping categories","Mappatura delle categorie"
"Mapping Categories","Mappatura delle categorie"
"Mapping Shipping Method","Mappatura del metodo di spedizione"
"Mapping shipping methods","Mappatura metodi di spedizione"
"Mapping shipping","Mappatura della spedizione"
"Maximum Order Total","Importo massimo dell'ordine"
"Merchant PayPal ID","ID Commerciante PayPal"
"Merchant Promotion","Promozione merchant"
"Midnight - 8:00 a.m.","Tra mezzanotte (compresa) e le 8 del mattino"
"Minimum Order Total","Importo minimo dell'ordine"
"Month","Mese"
"My Credit Cards","Mie carte di credito"
"Name Payment Sheet","Nome foglio di pagamento"
"Name","Nome"
"New Mapping Categories","Nuova mappatura delle categorie"
"New Mapping Shipping Methods","Nuova mappatura metodo di spedizione"
"New Mapping Shipping","Nuova mappatura spedizione"
"New Order Status","Stato del nuovo ordine"
"No","No"
"Not applicable for Bancontact / Mister Cash, transaction with this payment method will be automatically captured","Non applicabile per Bantact / Mister Cash, la transazione con questo metodo di pagamento verrà acquisita automaticamente"
"NOT FOUND","Non trovato"
"Not to be modified. Please read our documentation : https://developer.hipay.com/getting-started/platform-hipay-enterprise/overview/#device-fingerprint-integration","Non deve essere modificato. Leggete la nostra documentazione: https://developer.hipay.com/getting-started/platform-hipay-enterprise/overview/#device-fingerprint-integration"""
"Not to be modified. Please read our documentation","Da non modificare. Si prega di leggere la nostra documentazione"
"Not to be modified.","Da non modificare."
"Notification ""%1""","Notifica ""%1"""
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o chiamateci al numero <a href=""tel:%store_phone"">%store_phone</a>"
"Order #","Ordine #"
"Order preparation delay","Ritardo nella preparazione dell'ordine"
"Order status when payment is accepted","Stato dell'ordine quando il pagamento è accettato"
"Order status when payment is canceled","Stato dell'ordine quando il pagamento è annullato"
"Order status when payment is cancelled","Stato dell'ordine quando il pagamento è annullato"
"Order status when payment is refused","Stato dell'ordine in caso di rifiuto del pagamento"
"Order total","Totale dell\'ordine"
"Order","Ordine"
"Order\'s time","Età dell'ordine"
"Orders count","Numero di ordini effettuati (compresi gli ordini in corso)"
"Others configurations","Altre configurazioni"
"Our hours are <span class=""no-link"">%store_hours</span>.","I nostri orari di apertura sono <span class=""no-link"">%store_hours</span>."
"Partially captured","Cattura parziale"
"Partially refunded","Rimborso parziale"
"Pay %1","Paga %1"
"Pay","Paga"
"Pay","Pagare"
"Payment Accept Email Sender","Mittente mail accettazione pagamento"
"Payment Accept Template","Template di accettazione pagamento"
"Payment Action","Tipo di pagamento"
"Payment Fraud Email Sender","Mittente mail pagamenti fraudolenti"
"Payment Fraud Template","Template di pagamenti fraudolenti"
"Payment from Applicable Countries","Metodo di pagamento autorizzato per i paesi "
"Payment from Specific Countries","Metodo di pagamento autorizzato per paesi specifici"
"Payment Method","Modalità di pagamento"
"Payment of your order <span class=""no-link"">#%increment_id</span> is in pending review.","Il pagamento del tuo ordine <span class=""no-link"">#%increment_id</span> è in attesa di revisione."
"Payment of your order <span class=""no-link"">#%increment_id</span> was refused.","Pagamento del tuo ordine <span class=""no-link"">#%increment_id</span> was refused."
"Payment products","Prodotti di pagamento"
"Payment transaction is not accepted.","La transazione di pagamento non è accettata."
"Payment transaction is waiting for review.","Transazione di pagamento in sospeso per la valutazione."
"Pending","In attesa"
"Period Frequency","Frequenza del periodo"
"Period max cycles is equals zero or negative ","Il ciclo massimo del periodo è uguale a zero o negativo "
"Period Max Cycles","Cicli di massimo periodo"
"Period of validity of the payment page","Periodo di validità della pagina di pagamento"
"Period Unit","Unità periodo"
"Periode Frequency","Frequenza del periodo"
"Periode Max Cycles","Cicli massimi del periodo"
"Periode Unit","Unità periodo"
"Place Order","Effettuare l'ordine"
"Placed on <span class=""no-link"">%created_at</span>","Collocato <span class=""no-link"">%created._at</span>"
"Please agree with the terms of conditions below", "Si prega di accettare i termini e le condizioni di seguito riportati"
"Please check the phone number entered.","Per favore verificare numero di telefono inserito"
"Please do not refresh the page until you complete payment.","Non aggiornare la pagina fino al completamento del pagamento.."
"Please enter a valid credit card expiration date.","Si prega di inserire una data di scadenza valida"
"Please enter a valid credit card verification number.","Immettere un numero di verifica valido (CVV)."
"Price in cart","Prezzo nel carrello"
"PRINT","STAMPA"
"Product attribute combination","Combinazione di attributi del prodotto"
"Product Attribute","Attributo del prodotto"
"Production","Produzione"
"Products subselection","Subselezione dei prodotti"
"Quantity in cart","Quantità nel carrello"
"Reason: %reason","Motivo: %reason"
"Reason","Motivo"
"Rectangle","Rettangolo"
"Recurring Payment","Pagamenti ricorrenti"
"REFERENCE","RIFERIMENTO"
"Refund accepted by Hipay.","Rimborso accettato da Hipay."
"Refund refused","Rimborso rifiutato"
"Refund requested","Rimborso richiesto"
"Refunded","Rimborsato"
"Restore cart on return","Ripristino del carrello al ritorno"
"Restore cart when back button is pressed during payment process. Not available when CRON notifications are enabled","Ripristino del carrello quando si preme il pulsante indietro durante il processo di pagamento. Non disponibile quando sono abilitate le notifiche CRON"
"Rounded","Arrotondato"
"Row total in cart","Rigo totale nel carrello"
"Rules 3D Secure","Regole 3D Secure"
"Rules Oneclick","Regole OneClick"
"Sale","Vendita"
"Save and Continue Edit","Salva e continua a modificare"
"Save Mapping Categories","Salva la mappatura delle categorie"
"Save Mapping Shipping","Salva la mappatura dei metodi di spedizione"
"Save this card for future use","Salva questa carta per futuri acquisti"
"Secret passphrase (production account)","Passphrase segreta (conto di Produzione)"
"Secret passphrase (test account)","Passphrase segreta (conto di Stage)"
"Select your custom attribute for ean support","Selezionare l'attributo personalizzato per il supporto ean"
"Send cart","Invia il carrello"
"Send Notification url","Invia URL di notifica pagamenti"
"Send Payment Accept Email Copy Method","Invia copia email metodo di accettazione pagamento"
"Send Payment Accept Email Copy To","Invia copia email del ricevente accettazione pagamento"
"Send Payment Fraud Email Copy Method","Invia copia email metodo di pagamento fraudolento"
"Send Payment Fraud Email Copy To","Invia copia email del del ricevente pagamento fraudolento"
"Separate by "","".","Separato da "",""."
"Shipping Address","Indirizzo di fatturazione"
"Shipping Country","Paese di spedizione"
"Shipping Info","Informazioni di spedizione"
"Shipping method should be [carrier_code]_[shipping_method_id]. Available carriers are : %1","Il metodo di spedizione dovrebbe essere [code_transporteur]_[id_méthode_livraison]. I corrieri disponibili sono : %1"
"Shipping Method","Metodo di spedizione"
"Shipping Postcode","Codice postale di spedizione"
"Shipping Region","Regione di spedizione"
"Shipping State/Province","Stato/Provincia di spedizione"
"Show 'Buy Now / Pay Later' Button","Mostra il pulsante 'Compra ora / Paga dopo'"
"Silver","Argento"
"Something went wrong deleting the credit card.","Qualcosa è andato storto eliminando la carta di credito."
"Something went wrong while saving the mapping.","Qualcosa è andato storto durante il salvataggio mappatura"
"Sort Order","Ordinamento"
"Stage","Stage"
"Start Date","Data di inizio"
"Status","Stato"
"Subscribe","Iscriviti"
"Subtotal","Subtotale"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro only"
"Template type","Digita il tuo template"
"Thank you for your order from %store_name.","Grazie per il vostro ordine da %store_name."
"Thank you for your order. You will receveive a confirmation email soon.","Grazie per il vostro ordine. Riceverai presto un'e -mail di conferma."
"The 'Buy now, Pay later' feature is only available if the store currency is euros and if the basket amount is between 30 and 2000.","La funzionalità 'Compra ora, Paga dopo' è disponibile solo se la valuta dello store è l'euro e se l'importo del carrello è compreso tra 30 e 2000 euro."
"The capture action is not available.","L'azione di cattura non è disponibile"
"The format of the phone number must match a Belgian phone.","Il formato del numero di telefono deve corrispondere a un telefono belga."
"The format of the phone number must match a French phone.","Il formato del numero di telefono deve corrispondere a un telefono francese."
"The format of the phone number must match a Portuguese phone.","Il formato del numero di telefono deve corrispondere a un telefono portoghese."
"The format of the phone number must match an Italian phone.","Il formato del numero di telefono deve corrispondere a un telefono italiano."
"The mapping has been deleted.","La mappatura è stata eliminata."
"The mapping shipping has been deleted.","La mappatura della spedizione è stata eliminata."
"The payment has been authorized.","Il pagamento è stato autorizzato"
"The payment has been captured too.","Anche il pagamento è stato catturato"
"The same of your HiPay Enterprise production account","Lo stesso del conto di produzione HiPay Enterprise"
"The same of your HiPay Enterprise test account","Lo stesso del conto di Stage HiPay Enterprise"
"The same of your HiPay Fullservice production account","Lo stesso del vostro conto di Produzione HiPay"
"The same of your HiPay Fullservice test account","Lo stesso del vostro conto di Test HiPay"
"There is no need to approve this payment.","Non c'è bisogno di approvare questo pagamento."
"There was an error capturing the transaction: %1.","Si è verificato un errore nell'acquisizione della transazione"
"There was an error request new transaction: %1.","Si è verificato un errore nella richiesta di una nuova transazione: %1."
"This credit card type is not allowed for this payment method.","Questo tipo di carta di credito non è consentito per questo metodo di pagamento."
"This email is sent to customer, if his payment is approved by merchant","Questa email viene inviato al cliente se il suo pagamento viene approvato dall'esercente."
"This email is sent to customer, if his payment is denied by merchant","Questa email viene inviato al cliente se il suo pagamento viene rifiutato dall'esercente."
"This email is sent to customer, if his payment is in fraud state","Questa email viene inviato al cliente se il suo pagamento è riconosciuto come fraudolento."
"This mapping no longer exists.","Questa mappatura non esiste più."
"This won't take long . . .","Non ci vorrà molto . . ."
"Title","Titolo"
"To validate it, please click on link below. It redirect you on credit card form.","Per convalidarlo, fare clic sul link sottostante. Vi reindirizza al modulo della carta di credito."
"total amount","Importo totale"
"Total Items Quantity","Numero totale di articoli"
"total quantity","Quantità totale"
"Total Weight","Peso totale"
"Total","Total"
"Try to enable for all transactions.","Prova a chiederlo per tutte le transazioni."
"Try to enable for configured 3ds rules","Provare ad abilitare le regole 3ds configurate"
"Two Weeks","Due settimane"
"Url of Hipay's javascript","Url del javascript HiPay "
"Use 3D Secure","Attivare 3DS"
"Use Oneclick","Attivare Oneclick"
"Vertical","Verticale"
"We advise you to update the extension if you wish to get the latest fixes and evolutions. To update the extension, please click here : ","Ti consigliamo di aggiornare il modulo se si desidera ottenere le ultime correzioni ed evoluzioni. Per aggiornare l'estensione, fare clic qui: : "
"We can't find a mapping to delete.","Non troviamo mappature da eliminare."
"We can't place the order.","Non possiamo processare l'ordine."
"We can't update the payment right now.","Attualmente non possiamo aggiornare il pagamento."
"Week","1 settimana"
"What is this?","Cos'è questo?"
"White","Bianco"
"With fees","Con commissioni"
"Without fees","Senza commissioni"
"Wrapper iFrame Style","Stile Wrapper iFrame"
"Year","Anno"
"Yes","Si"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Potete controllare lo stato del vostro ordine <a href=""%account_url"">loggandosi al proprio account</a>."
"You can check the status of your order by logging into your account.","Puoi controllare lo stato del tuo ordine accedendo al tuo account."
"You can check the status of your order in your order history.","Puoi controllare lo stato del tuo ordine nella cronologia dell'ordine."
"You can retry your order with another credit card.","Puoi riprovare il tuo ordine con un'altra carta di credito."
"You deleted your credit card.","Hai cancellato la tua carta di credito."
"You have already done this mapping.","Hai già fatto una mappatura."
"You have recorded no cards.","Non hai salvato alcuna carta ."
"You notified customer about creditmemo #%1.","Hai notificato il cliente riguarda il rimborso"
"You notified customer about invoice #%1.","Hai notificato il cliente riguardo la fattura"
"You saved this mapping category.","Hai salvato la categoria di mappatura."
"You saved this mapping shipping.","Hai salvato questo metodo di spedizione ."
"You will be redirect to payment page after submit order.","Una volta confermato, si verrà reindirizzati alla pagina di pagamento."
"Your credit cards","Le tue carte di credito"
"Your Order <span class=""no-link"">#%increment_id</span>","Il tuo ordine <span class=""no-link"">#%increment_id</span>"
"Your order is in payment review.","L'ordine è in attesa di pagamento."
"Your order payment is now reviewed and accepted.","Il pagamento dell'ordine è stato esaminato e accettato."
"Your order #%1 was canceled.","L\'ordine #%1 è stato cancellato."
"Your order was declined.","L\'ordine è stato rifiutato."
"Your payment is accepted.","Il vostro pagamento è stato accettato"
"Your payment is in pending.","Il vostro pagamento è in pending."
"Your transaction is declined.","La vostra transazione è rifiutata."
"Cancel pending order","Cancelar pedido pendente"
"Automatically cancel orders that remain pending for more than the configured duration.","Cancelar automaticamente os pedidos que permanecem pendentes por mais tempo do que a duração configurada."
"Cancellation delay","Atraso de cancelamento"
"In minutes. Minimum: 30. Maximum: 10080 (7 days).","Em minutos. Mínimo: 30. Máximo: 10080 (7 dias)."
"Only numeric values are allowed for cancellation delay.","Apenas são permitidos valores numéricos para o atraso de cancelamento."
"Minimum allowed value for cancellation delay is 30 minutes.","O valor mínimo permitido para o atraso de cancelamento é 30 minutos."
"Maximum allowed value for cancellation delay is 10080 minutes (7 days).","O valor máximo permitido para o atraso de cancelamento é 10080 minutos (7 dias)."
"Hosted Page Paypal V2 Button Configuration","Pagina ospitata V2 di configurazione del pulsante Paypal"
"For any questions regarding minimum and maximum amounts, please contact support or your account manager.","Per qualsiasi domanda relativa agli importi minimi e massimi, si prega di contattare l\'assistenza o il proprio account manager."
"Allow customers to save their card details for future purchases.","Consenti ai clienti di salvare i dati della carta per gli acquisti futuri."
"Maximum saved cards displayed per customer","Numero massimo di carte per cliente"
"If you leave the field empty, all the customer's saved cards will be displayed.","Se lasciate il campo vuoto, verranno visualizzate tutte le carte registrate del cliente."
"Selected Card Highlight Color","Colore evidenziazione carta selezionata"
"Save Card Toggle Color","Colore del pulsante di salvataggio carta"
"Current day","Giorno corrente"
"1 hour","1 ora"
"3 hours","3 ore"
"6 hours","6 ore"
"12 hours","12 ore"
"1 day","1 giorno"
"3 days","3 giorni"
"30 days","30 giorni"
"90 days","90 giorni"
"Please complete your billing address, shipping address, and select a shipping method to continue with PayPal","Completa il tuo indirizzo di fatturazione, l'indirizzo di spedizione e seleziona un metodo di spedizione per continuare con PayPal"
"Please complete your billing address, shipping address, and select a shipping method to continue with Apple Pay","Completa il tuo indirizzo di fatturazione, l'indirizzo di spedizione e seleziona un metodo di spedizione per continuare con Apple Pay"
