"HiPay API configuration","Configurazione Api HiPay"
"Api username","Username Api"
"Api password","Password Api"
"Api username test","Prova username Api"
"Api password test","Prova password Api"
"Hipay Credit Card","Carta di credito Hipay"
"Enabled","Abilitata"
"Title","Qualifica"
"Payment Action","Attività di pagamento"
"Notification from Hipay:","Notifica di Hipay:"
"status","stato"
"Order %s by %s","Ordine %s di %s"
"amount: %s","ammontare: %s"
"failed","transazione non eseguita"
"successful","transazione eseguita"
"Credit Card: xxxx-%s","Carta di credito: xxxx-%s"
"Hipay Transaction ID %s","Identificativo transazione Hipay %s"
"Payment authorization error.","Errore di autorizzazione del pagamento."
"Payment capturing error.","Errore di acquisizione del pagamento."
"Payment accepted by Hipay.","Pagamento accettato da Hipay."
"Waiting for capture transaction ID '%s' of amount %s","In attesa dell'acquisizione dell'identificativo della transazione '%s' per una cifra di %s"
"Reason","Causale"
"Code Credit Card Type Hipay not found!","Codice carta di credito tipo Hipay non trovato!"
"Authorization","Autorizzazione"
"Sale","Vendita"
"basic","basilare"
"basic2","basilare2"
"Order canceled automatically by cron because order is pending since %d minutes","Ordine cancellato automaticamente da cron perché è in sospeso da %d minuti"
"--Please Select--","--Si prega di selezionare--"
"Credit Card Number","Numero di carta di credito"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Types","Tipi di carta di credito"
"Expiration date","Data di scadenza:"
"Actual card","Carta Attuale:"
"Card Verification Number","Codice di verifica della carta"
"Record your card data for a next buy.","Registra la tua carta per il tuo prossimo acquisto."
"Use my recorded card","Usa la mia carta registrata"
"Record new card data","Registra i dati di una nuova carta"
"Not use record card data","Continua senza registrare i dati della carta"
"You will be redirect to payment page after submit order.","Inserirai i dati dopo aver effettuato l'ordine"
"Hipay Credit Card","Carta di credito Hipay"
"Enabled","Abilitata"
"Title","Qualifica"
"Order status when payment accepted","Stato dell'ordine quando il pagamento viene accettato"
"Order status when payment refused","Stato dell'ordine quando il pagamento viene rifiutato"
"Order status when payment canceled by customer","Stato dell'ordine quando il pagamento viene annullato dal cliente"
"Payment Action","Attività di pagamento"
"Credit Card Types","Tipi di carta di credito"
"Credit Card Verification","Verifica della carta di credito"
"Use 3D Secure","Usa 3D Secure"
"Use Oneclick","Usa Oneclick"
"Use recurring profile","Usa profilo ricorrente"
"Create invoice when payment accepted","Crea fattura quando il pagamento è accettato"
"Add product to cart","Aggiungi prodotto al carrello"
"Fill cart when payment canceled or refused","Riempi il carrello quando il pagamento viene annullato o rifiutato"
"Cancel pending order","Annulla ordine in sospeso"
"Cancel orders stayed in pending because customer not validated payment","Annulla ordini rimasti in sospeso perché il cliente non ha validato il pagamento"
"Payment from applicable countries","Pagamento da paesi pertinenti"
"Payment from Specific countries","Pagamento da paesi specifici"
"Minimum Order Total,"Totale minimo ordine"
"Maximum Order Total","Totale massimo ordine"
"Sort order","Organizza ordine"
"Enable debug log","Consenti i log per il debug"
"Enable test mode","Consenti la modalità test"
"Css Url","Url Css"
"Important, HTTPS protocol is required","Importante, è necessario il protocollo HTTPS"
"Page payment template","Modello pagina dei pagamenti"
"Display card selector","Mostra selettore di carta"
"What is this?","Cos'è?"
"Hipay Hosted","Hipay supportato"
"You will be debit of amount %s only after submit order.","Ti sarà addebitata la somma di %s solo dopo la presentazione dell'ordine."
"Pending Capture","In attesa dell'acquisizione"
"Capture Requested","Richiesta acquisizione"
"Refund Requested","Rimborso richiesto"
"Capture Requested by Hipay.","Acquisizione richiesta da Hipay."
"Payment accepted by Hipay.","Pagamento accettato da Hipay."
"Refund Requested by Hipay.","Rimborso richiesto da Hipay."
"Refund accepted by Hipay.","Rimborso accettato da Hipay."
"Your payment is in pending.","Il tuo pagamento è in attesa."
"Order #","Num. ordine"
"Pending page","Pagina di attesa"
"Success page","Pagina transazione eseguita"
"Failure page","Pagina transazione non eseguita"
"Redirect page pending status","Reindirizzamento alla pagina di attesa"
"Page to redirect when transaction is in pending status","Pagina cui reindirizzare quando la transazione è in attesa"
"Record your card data for recurring.","Registra i dati della tua carta per operazioni ricorrenti."
"Sort the list by drag'n/drop credit card type","Sort the list by drag'n/drop credit card type"
"Split your Payment","Split your Payment"
"-- Please select your split payment --","-- Please select your split payment --"
"Try to enable for all transactions.","Try to enable for all transactions."
"Try to enable for configured 3ds rules","Try to enable for configured 3ds rules"
"Force for configured 3ds rules","Force for configured 3ds rules"
"Force for all transactions.","Force for all transactions."
"Your next payments:","Your next payments:"
"Name on Card","Name on Card"
"Use Split Payment","Use Split Payment"
"Payment Profile","Payment Profile"
"Minimum Order Total for Split Payment","Minimum Order Total for Split Payment"
"Rules Oneclick","Rules Oneclick"
"Send fraud payment email","Send fraud payment email"
"Display card owner","Display card owner"
"Display card owner in card form","Display card owner in card form"
"Split Payment Profiles","Split Payment Profiles"
"Split payments","Split payments"
"Hipay Split Payments","Hipay Split Payments"
"Card token","Card token"
"Amount to pay","Amount to pay"
"Date to pay","Date to pay"
"Attempts","Attempts"
"Status","Status"
"Pay now","Pay now"
"Hipay Payment Profiles","Hipay Payment Profiles"
"payment_type","payment_type"
"Add payment profile","Add payment profile"
"Payment Profile","Payment Profile"
"Wrapper iFrame Style","Wrapper iFrame Style"
"iFrame Width","iFrame Width"
"iFrame Height","iFrame Height"
"iFrame Style","iFrame Style"
"HiPay Fullservice credentials configuration","HiPay Fullservice credentials configuration"
"HiPay Fullservice Credit Card","HiPay Fullservice Credit Card API"
"HiPay Fullservice Hosted Page","HiPay Fullservice Credit Card Hosted Page"
"HiPay Fullservice Credit Card Split Payment","HiPay Fullservice Credit Card Split Payment"
"Credit Card Split Payment","Credit Card Split Payment"
"HiPay Fullservice Hosted Page Split Payment","HiPay Fullservice Hosted Page Split Payment"
"Notification ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"". Credit Memo has not been created. Please create offline Credit Memo.","Notification ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"". Credit Memo has not been created. Please create offline Credit Memo."
"Notification ""Capture"". Capture issued by merchant. Registered notification about captured amount of %s. Transaction ID: ""%s"". Invoice has not been created. Please create offline Invoice.","Notification ""Capture"". Capture issued by merchant. Registered notification about captured amount of %s. Transaction ID: ""%s"". Invoice has not been created. Please create offline Invoice."
"Accept and Capture Payment","Accept and Capture Payment"
"The Capture was requested.","The Capture was requested."
"You must reload the page to see new status.","You must reload the page to see new status."
"Your payment is declined. Please retry checkout with another payment card.","Your payment is declined. Please retry checkout with another payment card."
"An exception has occured. Please retry checkout.","An exception has occured. Please retry checkout."
"Transaction is in pending notification.","Transaction is in pending notification."
